Date,Peak Count,Time of Peak
06/01/2025,5,11:00 AM
06/02/2025,10,11:00 AM
06/03/2025,6,11:00 AM
06/04/2025,5,3:00 PM
06/05/2025,6,12:00 PM
06/06/2025,12,1:00 PM
06/07/2025,10,1:00 PM
06/08/2025,7,2:00 PM
06/09/2025,13,12:00 PM
06/10/2025,14,11:00 AM
06/11/2025,16,1:00 PM
06/12/2025,16,1:00 PM
06/13/2025,13,12:00 PM
06/14/2025,13,5:00 PM
06/15/2025,13,12:00 PM
06/16/2025,16,12:00 PM
06/17/2025,18,3:00 PM
06/18/2025,22,4:00 PM
06/19/2025,30,11:00 AM
06/20/2025,31,10:00 AM
06/21/2025,29,10:00 AM
06/22/2025,28,4:00 PM
06/23/2025,33,12:00 PM
06/24/2025,34,2:00 PM
06/25/2025,38,12:00 PM
06/26/2025,45,2:00 PM
06/27/2025,47,1:00 PM
06/28/2025,34,9:00 AM
06/29/2025,32,9:00 AM
06/30/2025,37,2:00 PM